"seurat_clusters"	"clusterName"	"clusterColor"
"0"	"C0"	"#F8766D"
"1"	"C1"	"#E7851E"
"2"	"C2"	"#D09400"
"3"	"C3"	"#B2A100"
"4"	"C4"	"#89AC00"
"5"	"C5"	"#45B500"
"6"	"C6"	"#00BC51"
"7"	"C7"	"#00C087"
"8"	"C8"	"#00C0B2"
"9"	"C9"	"#00BCD6"
"10"	"C10"	"#00B3F2"
"11"	"C11"	"#29A3FF"
"12"	"C12"	"#9C8DFF"
"13"	"C13"	"#D277FF"
"14"	"C14"	"#F166E8"
"15"	"C15"	"#FF61C7"
"16"	"C16"	"#FF689E"
